code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,200,1st,2020
BAC,Bachelor Of Arts In Communication,126,1st,2020
POLSCI,Bachelor Of Arts In Political Science,271,1st,2020
BSSW,Bachelor Of Science In Social Work,53,1st,2020
BSA,Bachelor Of Science In Accountancy,299,1st,2020
BSAIS,Bachelor Of Science In Accounting Information System,243,1st,2020
Entrep,Bs In Entrepreneurship,446,1st,2020
BSBA,Bachelor Of Science In Business Administration,331,1st,2020
BSCS,Bachelor Of Science In Computer Science,381,1st,2020
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,111,1st,2020
BSIT,Bachelor Of Science In Information Technology,391,1st,2020
CRIM,Bachelor Of Science In Criminology,433,1st,2020
BEEd,Bachelor Of Elementary Education,230,1st,2020
BSEd,Bachelor Of Secondary Education,240,1st,2020
BSCE,Bachelor Of Science In Civil Engineering,189,1st,2020
BSCpE,Bachelor Of Science In Computer Engineering,408,1st,2020
BSEE,Bachelor Of Science In Electrical Engineering,250,1st,2020
BSHM,Bachelor Of Science In Hospitality Management,72,1st,2020
BSTM,Bachelor Of Science In Tourism Management,315,1st,2020
BSBIO,Bachelor Of Science In Biology,464,1st,2020
BIT,Bachelor In Industrial Technology,204,1st,2020
BSF,Bachelor Of Science In Fisheries,466,1st,2020
BSM,Bachelor Of Science In Midwifery,406,1st,2020
BSN,Bachelor Of Science In Nursing,194,1st,2020
BSAg,Bachelor of Science in Agriculture,397,2nd,2020
BAC,Bachelor Of Arts In Communication,288,2nd,2020
POLSCI,Bachelor Of Arts In Political Science,381,2nd,2020
BSSW,Bachelor Of Science In Social Work,361,2nd,2020
BSA,Bachelor Of Science In Accountancy,166,2nd,2020
BSAIS,Bachelor Of Science In Accounting Information System,99,2nd,2020
Entrep,Bs In Entrepreneurship,237,2nd,2020
BSBA,Bachelor Of Science In Business Administration,207,2nd,2020
BSCS,Bachelor Of Science In Computer Science,209,2nd,2020
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,376,2nd,2020
BSIT,Bachelor Of Science In Information Technology,346,2nd,2020
CRIM,Bachelor Of Science In Criminology,420,2nd,2020
BEEd,Bachelor Of Elementary Education,368,2nd,2020
BSEd,Bachelor Of Secondary Education,153,2nd,2020
BSCE,Bachelor Of Science In Civil Engineering,70,2nd,2020
BSCpE,Bachelor Of Science In Computer Engineering,296,2nd,2020
BSEE,Bachelor Of Science In Electrical Engineering,246,2nd,2020
BSHM,Bachelor Of Science In Hospitality Management,390,2nd,2020
BSTM,Bachelor Of Science In Tourism Management,65,2nd,2020
BSBIO,Bachelor Of Science In Biology,215,2nd,2020
BIT,Bachelor In Industrial Technology,173,2nd,2020
BSF,Bachelor Of Science In Fisheries,349,2nd,2020
BSM,Bachelor Of Science In Midwifery,295,2nd,2020
BSN,Bachelor Of Science In Nursing,461,2nd,2020
BSAg,Bachelor of Science in Agriculture,244,Summer,2020
BAC,Bachelor Of Arts In Communication,436,Summer,2020
POLSCI,Bachelor Of Arts In Political Science,285,Summer,2020
BSSW,Bachelor Of Science In Social Work,224,Summer,2020
BSA,Bachelor Of Science In Accountancy,218,Summer,2020
BSAIS,Bachelor Of Science In Accounting Information System,332,Summer,2020
Entrep,Bs In Entrepreneurship,470,Summer,2020
BSBA,Bachelor Of Science In Business Administration,293,Summer,2020
BSCS,Bachelor Of Science In Computer Science,422,Summer,2020
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,100,Summer,2020
BSIT,Bachelor Of Science In Information Technology,248,Summer,2020
CRIM,Bachelor Of Science In Criminology,463,Summer,2020
BEEd,Bachelor Of Elementary Education,386,Summer,2020
BSEd,Bachelor Of Secondary Education,471,Summer,2020
BSCE,Bachelor Of Science In Civil Engineering,131,Summer,2020
BSCpE,Bachelor Of Science In Computer Engineering,420,Summer,2020
BSEE,Bachelor Of Science In Electrical Engineering,274,Summer,2020
BSHM,Bachelor Of Science In Hospitality Management,303,Summer,2020
BSTM,Bachelor Of Science In Tourism Management,389,Summer,2020
BSBIO,Bachelor Of Science In Biology,202,Summer,2020
BIT,Bachelor In Industrial Technology,496,Summer,2020
BSF,Bachelor Of Science In Fisheries,311,Summer,2020
BSM,Bachelor Of Science In Midwifery,136,Summer,2020
BSN,Bachelor Of Science In Nursing,361,Summer,2020
